Recall ID,Date,Month,Year,Product Category,Company,Product Name,Root Cause,Recall Class,Class Description,Severity Score (1-3),Root Cause Risk Weight (1-10),Composite Risk Score,Province,Recall Description
RC-0078,2024-04-29,2024-04,2024,Meat and Poultry,Maple Leaf Foods,Maple Leaf Foods Chicken Wings,Chemical contamination,Class I,Serious health risk or death,3,8,2.4,Ontario,Maple Leaf Foods is recalling Chicken Wings due to the presence of pesticide residues contamination.
RC-0083,2024-05-02,2024-05,2024,Medical Devices,Becton Dickinson Canada,Becton Dickinson Canada Infusion Pump,Packaging failure,Class II,Temporary adverse health consequences unlikely to be serious,2,5,1.0,Saskatchewan,Becton Dickinson Canada is recalling Infusion Pump due to a packaging defect that may compromise product integrity.
RC-0468,2024-05-04,2024-05,2024,Prepared and Packaged Foods,General Mills Canada,General Mills Canada Mac and Cheese,Chemical contamination,Class II,Temporary adverse health consequences unlikely to be serious,2,8,1.6,Ontario,Recall of Mac and Cheese by General Mills Canada because the product may contain benzene at levels that exceed Health Canada guidelines.
RC-0618,2024-05-04,2024-05,2024,Seafood,Clearwater Seafoods,Clearwater Seafoods Smoked Salmon,Microbiological contamination,Class I,Serious health risk or death,3,10,3.0,Ontario,Clearwater Seafoods is recalling certain lots of Smoked Salmon due to possible Salmonella contamination detected during routine testing.
RC-0687,2024-05-06,2024-05,2024,Meat and Poultry,Sun Rise Poultry,Sun Rise Poultry Chicken Wings,Process deviation,Class I,Serious health risk or death,3,6,1.8,British Columbia,Recall of Chicken Wings due to a process deviation during manufacturing that may affect product safety.
RC-0665,2024-05-09,2024-05,2024,Medical Devices,Baxter Canada,Baxter Canada Blood Pressure Cuff,Packaging failure,Class II,Temporary adverse health consequences unlikely to be serious,2,5,1.0,Ontario,Recall of Blood Pressure Cuff because of a seal failure that may allow contamination of the product.
RC-0524,2024-05-11,2024-05,2024,Dietary Supplements,CanPrev Natural Health,CanPrev Natural Health Magnesium,Labelling error,Class III,Unlikely to cause adverse health consequences,1,4,0.4,Ontario,CanPrev Natural Health is recalling Magnesium because the product was labelled with incorrect nutritional information information.
RC-0186,2024-05-12,2024-05,2024,Prepared and Packaged Foods,Cavendish Farms,Cavendish Farms Frozen Pizza,Chemical contamination,Class II,Temporary adverse health consequences unlikely to be serious,2,8,1.6,Quebec,Recall of Frozen Pizza by Cavendish Farms because the product may contain cadmium at levels that exceed Health Canada guidelines.
RC-0238,2024-05-12,2024-05,2024,Prepared and Packaged Foods,Bonduelle Americas,Bonduelle Americas Frozen Pizza,Process deviation,Class II,Temporary adverse health consequences unlikely to be serious,2,6,1.2,Quebec,Bonduelle Americas is recalling Frozen Pizza because a deviation from standard manufacturing practice occurred during production.
RC-0203,2024-05-15,2024-05,2024,Dietary Supplements,CanPrev Natural Health,CanPrev Natural Health Fish Oil,Chemical contamination,Class III,Unlikely to cause adverse health consequences,1,8,0.8,British Columbia,CanPrev Natural Health is recalling Fish Oil due to elevated levels of lead.
RC-0288,2024-05-15,2024-05,2024,Bakery and Snacks,Leclerc Group,Leclerc Group Granola Bars,Mislabelling of ingredients,Class II,Temporary adverse health consequences unlikely to be serious,2,4,0.8,Quebec,Recall of Granola Bars due to incorrect ingredient declaration on the label.
RC-0424,2024-05-15,2024-05,2024,Beverages,Andrew Peller,Andrew Peller Kombucha,Undeclared sulphites,Class II,Temporary adverse health consequences unlikely to be serious,2,6,1.2,Ontario,Andrew Peller is conducting a voluntary recall of Kombucha due to possible undeclared sulphites.
RC-0357,2024-05-16,2024-05,2024,Prepared and Packaged Foods,General Mills Canada,General Mills Canada Chicken Soup,Foreign material,Class II,Temporary adverse health consequences unlikely to be serious,2,7,1.4,Ontario,General Mills Canada is recalling Chicken Soup due to the possible presence of plastic pieces.
RC-0766,2024-05-17,2024-05,2024,Dietary Supplements,Organika,Organika Magnesium,Process deviation,Class II,Temporary adverse health consequences unlikely to be serious,2,6,1.2,Alberta,Organika is recalling Magnesium because a deviation from standard manufacturing practice occurred during production.
RC-0822,2024-05-17,2024-05,2024,Prepared and Packaged Foods,McCain Foods,McCain Foods Chicken Soup,Foreign material,Class II,Temporary adverse health consequences unlikely to be serious,2,7,1.4,Saskatchewan,McCain Foods is recalling Chicken Soup due to the possible presence of wood splinters.
RC-0038,2024-05-18,2024-05,2024,Meat and Poultry,Maple Leaf Foods,Maple Leaf Foods Turkey Cold Cuts,Microbiological contamination,Class I,Serious health risk or death,3,10,3.0,Quebec,Recall of Turkey Cold Cuts because of potential contamination with Salmonella. Consumers should not consume this product.
RC-0482,2024-05-18,2024-05,2024,Fruits and Vegetables,Naturipe,Naturipe Cucumber,Foreign material,Class II,Temporary adverse health consequences unlikely to be serious,2,7,1.4,British Columbia,Naturipe is recalling Cucumber after foreign material (wood splinters) was found during production.
RC-0169,2024-05-21,2024-05,2024,Meat and Poultry,Olymel,Olymel Turkey Cold Cuts,Microbiological contamination,Class I,Serious health risk or death,3,10,3.0,Ontario,Recall of Turkey Cold Cuts because of potential contamination with E. coli O157:H7. Consumers should not consume this product.
RC-0210,2024-05-21,2024-05,2024,Prepared and Packaged Foods,Bonduelle Americas,Bonduelle Americas Pasta Sauce,Packaging failure,Class I,Serious health risk or death,3,5,1.5,British Columbia,"Bonduelle Americas is recalling Pasta Sauce because the packaging may be compromised, potentially affecting product safety."
RC-0713,2024-05-21,2024-05,2024,Beverages,Lassonde Industries,Lassonde Industries Energy Drink,Mislabelling of ingredients,Class II,Temporary adverse health consequences unlikely to be serious,2,4,0.8,Alberta,Recall of Energy Drink due to incorrect ingredient declaration on the label.
RC-0795,2024-05-21,2024-05,2024,Pharmaceuticals,Teva Canada,Teva Canada Eye Drops,Chemical contamination,Class I,Serious health risk or death,3,8,2.4,Ontario,Teva Canada is recalling Eye Drops due to the presence of cadmium contamination.
RC-0704,2024-05-22,2024-05,2024,Dairy and Eggs,Lactalis Canada,Lactalis Canada Greek Yogurt,Microbiological contamination,Class I,Serious health risk or death,3,10,3.0,New Brunswick,Lactalis Canada is recalling Greek Yogurt due to possible Listeria monocytogenes contamination.
RC-0389,2024-05-24,2024-05,2024,Medical Devices,Medtronic Canada,Medtronic Canada Insulin Pump,Labelling error,Class I,Serious health risk or death,3,4,1.2,Alberta,Medtronic Canada is recalling Insulin Pump due to a labelling error. The label does not accurately reflect the contents of the package.
RC-0416,2024-05-27,2024-05,2024,Meat and Poultry,Better Beef,Better Beef Turkey Cold Cuts,Process deviation,Class III,Unlikely to cause adverse health consequences,1,6,0.6,Northwest Territories,Better Beef is recalling Turkey Cold Cuts because the product was not processed in accordance with approved manufacturing procedures.
RC-0189,2024-05-30,2024-05,2024,Fruits and Vegetables,Lakeside Produce,Lakeside Produce Cherry Tomatoes,Chemical contamination,Class II,Temporary adverse health consequences unlikely to be serious,2,8,1.6,Saskatchewan,Lakeside Produce is recalling Cherry Tomatoes due to elevated levels of benzene.
RC-0632,2024-06-01,2024-06,2024,Dairy and Eggs,Gay Lea Foods,Gay Lea Foods Egg Product,Packaging failure,Class II,Temporary adverse health consequences unlikely to be serious,2,5,1.0,Manitoba,"Gay Lea Foods is recalling Egg Product because the packaging may be compromised, potentially affecting product safety."
RC-0660,2024-06-01,2024-06,2024,Dairy and Eggs,Lactalis Canada,Lactalis Canada Butter,Undeclared allergen,Class I,Serious health risk or death,3,9,2.7,British Columbia,Lactalis Canada is recalling Butter due to undeclared peanuts. People with an allergy to peanuts should not consume this product.
RC-0562,2024-06-03,2024-06,2024,Meat and Poultry,Sun Rise Poultry,Sun Rise Poultry Beef Patties,Chemical contamination,Class II,Temporary adverse health consequences unlikely to be serious,2,8,1.6,Quebec,Sun Rise Poultry is recalling Beef Patties due to elevated levels of benzene.
RC-0489,2024-06-04,2024-06,2024,Meat and Poultry,Better Beef,Better Beef Ground Beef,Chemical contamination,Class II,Temporary adverse health consequences unlikely to be serious,2,8,1.6,British Columbia,Recall of Ground Beef by Better Beef because the product may contain pesticide residues at levels that exceed Health Canada guidelines.
RC-0488,2024-06-06,2024-06,2024,Beverages,Sleeman Breweries,Sleeman Breweries Orange Juice,Packaging failure,Class I,Serious health risk or death,3,5,1.5,Saskatchewan,Recall of Orange Juice because of a seal failure that may allow contamination of the product.
RC-0134,2024-06-08,2024-06,2024,Prepared and Packaged Foods,Conagra Brands Canada,Conagra Brands Canada Frozen Lasagna,Microbiological contamination,Class II,Temporary adverse health consequences unlikely to be serious,2,10,2.0,Ontario,Recall of Frozen Lasagna because of potential contamination with Salmonella. Consumers should not consume this product.
RC-0762,2024-06-09,2024-06,2024,Prepared and Packaged Foods,Cavendish Farms,Cavendish Farms Pasta Sauce,Undeclared allergen,Class II,Temporary adverse health consequences unlikely to be serious,2,9,1.8,New Brunswick,Cavendish Farms is recalling Pasta Sauce due to undeclared shellfish. People with an allergy to shellfish should not consume this product.
RC-0284,2024-06-10,2024-06,2024,Prepared and Packaged Foods,Cavendish Farms,Cavendish Farms Hummus,Undeclared allergen,Class II,Temporary adverse health consequences unlikely to be serious,2,9,1.8,Quebec,Recall of Hummus by Cavendish Farms because the product may contain undeclared wheat which is not declared on the label.
RC-0006,2024-06-12,2024-06,2024,Beverages,Clearly Canadian,Clearly Canadian Orange Juice,Labelling error,Class II,Temporary adverse health consequences unlikely to be serious,2,4,0.8,New Brunswick,Clearly Canadian is recalling Orange Juice because the product was labelled with incorrect net weight information.
RC-0052,2024-06-12,2024-06,2024,Bakery and Snacks,Frito-Lay Canada,Frito-Lay Canada Potato Chips,Process deviation,Class III,Unlikely to cause adverse health consequences,1,6,0.6,Saskatchewan,Recall of Potato Chips due to a process deviation during manufacturing that may affect product safety.
RC-0810,2024-06-13,2024-06,2024,Seafood,Pacific Seafood,Pacific Seafood Shrimp,Microbiological contamination,Class III,Unlikely to cause adverse health consequences,1,10,1.0,Ontario,Pacific Seafood is recalling certain lots of Shrimp due to possible Staphylococcus aureus contamination detected during routine testing.
RC-0026,2024-06-14,2024-06,2024,Dairy and Eggs,Gay Lea Foods,Gay Lea Foods Cream Cheese,Undeclared allergen,Class II,Temporary adverse health consequences unlikely to be serious,2,9,1.8,British Columbia,Gay Lea Foods is conducting a voluntary recall of Cream Cheese due to the possible presence of undeclared wheat.
RC-0085,2024-06-14,2024-06,2024,Cosmetics and Personal Care,Procter and Gamble Canada,Procter and Gamble Canada Hair Dye,Labelling error,Class II,Temporary adverse health consequences unlikely to be serious,2,4,0.8,Ontario,Recall of Hair Dye by Procter and Gamble Canada because the product label contains incorrect information regarding serving size.
RC-0397,2024-06-14,2024-06,2024,Seafood,Ocean Choice International,Ocean Choice International Tuna,Chemical contamination,Class II,Temporary adverse health consequences unlikely to be serious,2,8,1.6,British Columbia,Ocean Choice International is recalling Tuna due to elevated levels of lead.
RC-0199,2024-06-15,2024-06,2024,Bakery and Snacks,Leclerc Group,Leclerc Group Granola Bars,Process deviation,Class I,Serious health risk or death,3,6,1.8,National,Recall of Granola Bars due to a process deviation during manufacturing that may affect product safety.
RC-0763,2024-06-17,2024-06,2024,Infant Formula and Baby Food,Nestle Canada,Nestle Canada Pureed Vegetables,Process deviation,Class II,Temporary adverse health consequences unlikely to be serious,2,6,1.2,Quebec,Nestle Canada is recalling Pureed Vegetables because a deviation from standard manufacturing practice occurred during production.
RC-0559,2024-06-20,2024-06,2024,Meat and Poultry,Sun Rise Poultry,Sun Rise Poultry Beef Patties,Process deviation,Class II,Temporary adverse health consequences unlikely to be serious,2,6,1.2,Alberta,Recall of Beef Patties due to a process deviation during manufacturing that may affect product safety.
RC-0736,2024-06-22,2024-06,2024,Cosmetics and Personal Care,Procter and Gamble Canada,Procter and Gamble Canada Mascara,Labelling error,Class II,Temporary adverse health consequences unlikely to be serious,2,4,0.8,Alberta,Procter and Gamble Canada is recalling Mascara due to a labelling error. The label does not accurately reflect the contents of the package.
RC-0409,2024-06-24,2024-06,2024,Prepared and Packaged Foods,Cavendish Farms,Cavendish Farms Frozen Lasagna,Process deviation,Class I,Serious health risk or death,3,6,1.8,Quebec,Cavendish Farms is recalling Frozen Lasagna because the product was not processed in accordance with approved manufacturing procedures.
RC-0465,2024-06-25,2024-06,2024,Seafood,High Liner Foods,High Liner Foods Tuna,Microbiological contamination,Class II,Temporary adverse health consequences unlikely to be serious,2,10,2.0,Ontario,High Liner Foods is recalling certain lots of Tuna due to possible Clostridium perfringens contamination detected during routine testing.
RC-0113,2024-06-28,2024-06,2024,Fruits and Vegetables,Naturipe,Naturipe Bean Sprouts,Undeclared allergen,Class II,Temporary adverse health consequences unlikely to be serious,2,9,1.8,British Columbia,Naturipe is conducting a voluntary recall of Bean Sprouts due to the possible presence of undeclared fish.
RC-0798,2024-06-28,2024-06,2024,Meat and Poultry,Better Beef,Better Beef Pork Sausage,Microbiological contamination,Class II,Temporary adverse health consequences unlikely to be serious,2,10,2.0,New Brunswick,Better Beef is recalling certain lots of Pork Sausage due to possible Staphylococcus aureus contamination detected during routine testing.
RC-0161,2024-06-29,2024-06,2024,Beverages,Clearly Canadian,Clearly Canadian Sparkling Water,Mislabelling of ingredients,Class II,Temporary adverse health consequences unlikely to be serious,2,4,0.8,British Columbia,Recall of Sparkling Water due to incorrect ingredient declaration on the label.
RC-0530,2024-06-29,2024-06,2024,Pharmaceuticals,Teva Canada,Teva Canada Antibiotic Capsules,Labelling error,Class II,Temporary adverse health consequences unlikely to be serious,2,4,0.8,Manitoba,Recall of Antibiotic Capsules by Teva Canada because the product label contains incorrect information regarding storage instructions.
RC-0004,2024-07-04,2024-07,2024,Meat and Poultry,HFS Canada,HFS Canada Beef Patties,Packaging failure,Class I,Serious health risk or death,3,5,1.5,British Columbia,HFS Canada is recalling Beef Patties due to a packaging defect that may compromise product integrity.
RC-0297,2024-07-05,2024-07,2024,Pharmaceuticals,Paladin Labs,Paladin Labs Ibuprofen Tablets,Labelling error,Class I,Serious health risk or death,3,4,1.2,Manitoba,Paladin Labs is recalling Ibuprofen Tablets because the product was labelled with incorrect storage instructions information.
RC-0406,2024-07-05,2024-07,2024,Cosmetics and Personal Care,L'Oreal Canada,L'Oreal Canada Body Lotion,Foreign material,Class II,Temporary adverse health consequences unlikely to be serious,2,7,1.4,Alberta,L'Oreal Canada is recalling Body Lotion due to the possible presence of rubber pieces.
RC-0082,2024-07-06,2024-07,2024,Dairy and Eggs,Saputo Inc.,Saputo Inc. Egg Product,Microbiological contamination,Class II,Temporary adverse health consequences unlikely to be serious,2,10,2.0,Alberta,Recall of Egg Product because of potential contamination with Clostridium perfringens. Consumers should not consume this product.
RC-0097,2024-07-06,2024-07,2024,Dietary Supplements,CanPrev Natural Health,CanPrev Natural Health Vitamin D Capsules,Labelling error,Class II,Temporary adverse health consequences unlikely to be serious,2,4,0.8,Quebec,CanPrev Natural Health is recalling Vitamin D Capsules because the product was labelled with incorrect net weight information.
RC-0212,2024-07-06,2024-07,2024,Meat and Poultry,Maple Leaf Foods,Maple Leaf Foods Ground Beef,Mislabelling of ingredients,Class II,Temporary adverse health consequences unlikely to be serious,2,4,0.8,New Brunswick,Maple Leaf Foods is recalling Ground Beef because the product contains ingredients not listed on the label.
RC-0337,2024-07-07,2024-07,2024,Fruits and Vegetables,Pacific Coast Fruit,Pacific Coast Fruit Bean Sprouts,Foreign material,Class II,Temporary adverse health consequences unlikely to be serious,2,7,1.4,British Columbia,Pacific Coast Fruit is recalling Bean Sprouts due to the possible presence of wood splinters.
RC-0845,2024-07-09,2024-07,2024,Prepared and Packaged Foods,General Mills Canada,General Mills Canada Pasta Sauce,Labelling error,Class I,Serious health risk or death,3,4,1.2,New Brunswick,General Mills Canada is recalling Pasta Sauce because the product was labelled with incorrect nutritional information information.
RC-0333,2024-07-11,2024-07,2024,Pharmaceuticals,Pendopharm,Pendopharm Antibiotic Capsules,Chemical contamination,Class III,Unlikely to cause adverse health consequences,1,8,0.8,Alberta,Pendopharm is recalling Antibiotic Capsules due to elevated levels of mineral oil.
RC-0575,2024-07-11,2024-07,2024,Meat and Poultry,HFS Canada,HFS Canada Chicken Wings,Microbiological contamination,Class II,Temporary adverse health consequences unlikely to be serious,2,10,2.0,Quebec,HFS Canada is recalling Chicken Wings due to possible Staphylococcus aureus contamination.
RC-0551,2024-07-12,2024-07,2024,Fruits and Vegetables,Naturipe,Naturipe Bagged Salad,Packaging failure,Class I,Serious health risk or death,3,5,1.5,Ontario,Naturipe is recalling Bagged Salad due to a packaging defect that may compromise product integrity.
RC-0572,2024-07-12,2024-07,2024,Meat and Poultry,Better Beef,Better Beef Pork Sausage,Process deviation,Class II,Temporary adverse health consequences unlikely to be serious,2,6,1.2,Saskatchewan,Better Beef is recalling Pork Sausage because a deviation from standard manufacturing practice occurred during production.
RC-0460,2024-07-13,2024-07,2024,Cosmetics and Personal Care,L'Oreal Canada,L'Oreal Canada Face Cream,Labelling error,Class III,Unlikely to cause adverse health consequences,1,4,0.4,British Columbia,Recall of Face Cream by L'Oreal Canada because the product label contains incorrect information regarding expiry date.
RC-0499,2024-07-13,2024-07,2024,Beverages,Sleeman Breweries,Sleeman Breweries Kombucha,Undeclared sulphites,Class I,Serious health risk or death,3,6,1.8,Ontario,Sleeman Breweries is conducting a voluntary recall of Kombucha due to possible undeclared sulphites.
RC-0036,2024-07-14,2024-07,2024,Beverages,Clearly Canadian,Clearly Canadian Energy Drink,Foreign material,Class III,Unlikely to cause adverse health consequences,1,7,0.7,Ontario,Clearly Canadian is recalling Energy Drink after foreign material (rubber pieces) was found during production.
RC-0793,2024-07-20,2024-07,2024,Infant Formula and Baby Food,Gerber Canada,Gerber Canada Fruit Puree,Microbiological contamination,Class I,Serious health risk or death,3,10,3.0,Nova Scotia,Gerber Canada is recalling certain lots of Fruit Puree due to possible Listeria monocytogenes contamination detected during routine testing.
RC-0670,2024-07-21,2024-07,2024,Meat and Poultry,HFS Canada,HFS Canada Sliced Ham,Process deviation,Class I,Serious health risk or death,3,6,1.8,Quebec,HFS Canada is recalling Sliced Ham because a deviation from standard manufacturing practice occurred during production.
RC-0023,2024-07-23,2024-07,2024,Seafood,Ocean Choice International,Ocean Choice International Crab Cakes,Microbiological contamination,Class II,Temporary adverse health consequences unlikely to be serious,2,10,2.0,Ontario,Ocean Choice International is recalling certain lots of Crab Cakes due to possible Staphylococcus aureus contamination detected during routine testing.
RC-0217,2024-07-23,2024-07,2024,Prepared and Packaged Foods,Conagra Brands Canada,Conagra Brands Canada Ready Meal,Labelling error,Class III,Unlikely to cause adverse health consequences,1,4,0.4,Quebec,Conagra Brands Canada is recalling Ready Meal due to a labelling error. The label does not accurately reflect the contents of the package.
RC-0752,2024-07-23,2024-07,2024,Prepared and Packaged Foods,General Mills Canada,General Mills Canada Chicken Soup,Undeclared allergen,Class II,Temporary adverse health consequences unlikely to be serious,2,9,1.8,Ontario,General Mills Canada is conducting a voluntary recall of Chicken Soup due to the possible presence of undeclared milk.
RC-0132,2024-07-25,2024-07,2024,Meat and Poultry,Better Beef,Better Beef Chicken Wings,Process deviation,Class III,Unlikely to cause adverse health consequences,1,6,0.6,Quebec,Better Beef is recalling Chicken Wings because a deviation from standard manufacturing practice occurred during production.
RC-0740,2024-07-25,2024-07,2024,Dairy and Eggs,Gay Lea Foods,Gay Lea Foods Cream Cheese,Undeclared allergen,Class III,Unlikely to cause adverse health consequences,1,9,0.9,Saskatchewan,Recall of Cream Cheese by Gay Lea Foods because the product may contain undeclared mustard which is not declared on the label.
RC-0646,2024-07-26,2024-07,2024,Bakery and Snacks,Canada Bread,Canada Bread Whole Wheat Bread,Labelling error,Class III,Unlikely to cause adverse health consequences,1,4,0.4,Ontario,Canada Bread is recalling Whole Wheat Bread because the product was labelled with incorrect net weight information.
RC-0182,2024-07-27,2024-07,2024,Infant Formula and Baby Food,Nestle Canada,Nestle Canada Pureed Vegetables,Chemical contamination,Class II,Temporary adverse health consequences unlikely to be serious,2,8,1.6,Quebec,Recall of Pureed Vegetables by Nestle Canada because the product may contain lead at levels that exceed Health Canada guidelines.
RC-0477,2024-07-27,2024-07,2024,Meat and Poultry,Better Beef,Better Beef Turkey Cold Cuts,Process deviation,Class II,Temporary adverse health consequences unlikely to be serious,2,6,1.2,Quebec,Better Beef is recalling Turkey Cold Cuts because a deviation from standard manufacturing practice occurred during production.
RC-0709,2024-07-27,2024-07,2024,Seafood,Pacific Seafood,Pacific Seafood Atlantic Salmon,Chemical contamination,Class III,Unlikely to cause adverse health consequences,1,8,0.8,Manitoba,Recall of Atlantic Salmon by Pacific Seafood because the product may contain benzene at levels that exceed Health Canada guidelines.
RC-0780,2024-07-30,2024-07,2024,Meat and Poultry,HFS Canada,HFS Canada Beef Patties,Undeclared allergen,Class II,Temporary adverse health consequences unlikely to be serious,2,9,1.8,Ontario,HFS Canada is recalling Beef Patties due to undeclared sesame. People with an allergy to sesame should not consume this product.
RC-0293,2024-08-02,2024-08,2024,Fruits and Vegetables,Pacific Coast Fruit,Pacific Coast Fruit Spinach,Labelling error,Class I,Serious health risk or death,3,4,1.2,Ontario,Pacific Coast Fruit is recalling Spinach due to a labelling error. The label does not accurately reflect the contents of the package.
RC-0513,2024-08-03,2024-08,2024,Cosmetics and Personal Care,Reckitt Canada,Reckitt Canada Shampoo,Chemical contamination,Class II,Temporary adverse health consequences unlikely to be serious,2,8,1.6,Ontario,Reckitt Canada is recalling Shampoo due to elevated levels of benzene.
RC-0077,2024-08-05,2024-08,2024,Prepared and Packaged Foods,General Mills Canada,General Mills Canada Frozen Pizza,Microbiological contamination,Class I,Serious health risk or death,3,10,3.0,Alberta,Recall of Frozen Pizza because of potential contamination with Clostridium perfringens. Consumers should not consume this product.
RC-0602,2024-08-06,2024-08,2024,Prepared and Packaged Foods,General Mills Canada,General Mills Canada Frozen Pizza,Microbiological contamination,Class II,Temporary adverse health consequences unlikely to be serious,2,10,2.0,Ontario,Recall of Frozen Pizza because of potential contamination with Salmonella. Consumers should not consume this product.
RC-0274,2024-08-07,2024-08,2024,Prepared and Packaged Foods,Conagra Brands Canada,Conagra Brands Canada Pasta Sauce,Labelling error,Class I,Serious health risk or death,3,4,1.2,Yukon,Conagra Brands Canada is recalling Pasta Sauce because the product was labelled with incorrect nutritional information information.
RC-0730,2024-08-07,2024-08,2024,Bakery and Snacks,Leclerc Group,Leclerc Group Potato Chips,Undeclared allergen,Class II,Temporary adverse health consequences unlikely to be serious,2,9,1.8,Ontario,Leclerc Group is conducting a voluntary recall of Potato Chips due to the possible presence of undeclared sesame.
RC-0133,2024-08-08,2024-08,2024,Bakery and Snacks,Voortman Cookies,Voortman Cookies Muffins,Process deviation,Class III,Unlikely to cause adverse health consequences,1,6,0.6,Ontario,Recall of Muffins due to a process deviation during manufacturing that may affect product safety.
RC-0205,2024-08-08,2024-08,2024,Dairy and Eggs,Gay Lea Foods,Gay Lea Foods Sour Cream,Microbiological contamination,Class III,Unlikely to cause adverse health consequences,1,10,1.0,British Columbia,Recall of Sour Cream because of potential contamination with Clostridium perfringens. Consumers should not consume this product.
RC-0250,2024-08-11,2024-08,2024,Prepared and Packaged Foods,Conagra Brands Canada,Conagra Brands Canada Hummus,Foreign material,Class I,Serious health risk or death,3,7,2.1,Alberta,Conagra Brands Canada is recalling Hummus after foreign material (wood splinters) was found during production.
RC-0003,2024-08-12,2024-08,2024,Bakery and Snacks,Canada Bread,Canada Bread Crackers,Undeclared allergen,Class III,Unlikely to cause adverse health consequences,1,9,0.9,Ontario,Recall of Crackers by Canada Bread because the product may contain undeclared shellfish which is not declared on the label.
RC-0042,2024-08-12,2024-08,2024,Bakery and Snacks,Canada Bread,Canada Bread Granola Bars,Process deviation,Class I,Serious health risk or death,3,6,1.8,Nova Scotia,Canada Bread is recalling Granola Bars because the product was not processed in accordance with approved manufacturing procedures.
RC-0738,2024-08-15,2024-08,2024,Meat and Poultry,Olymel,Olymel Pork Sausage,Microbiological contamination,Class I,Serious health risk or death,3,10,3.0,British Columbia,Olymel is recalling Pork Sausage due to possible E. coli O157:H7 contamination.
RC-0054,2024-08-16,2024-08,2024,Meat and Poultry,HFS Canada,HFS Canada Beef Patties,Microbiological contamination,Class II,Temporary adverse health consequences unlikely to be serious,2,10,2.0,Nova Scotia,HFS Canada is recalling Beef Patties due to possible Salmonella contamination.
RC-0119,2024-08-17,2024-08,2024,Dairy and Eggs,Lactalis Canada,Lactalis Canada Cream Cheese,Microbiological contamination,Class III,Unlikely to cause adverse health consequences,1,10,1.0,Alberta,Lactalis Canada is recalling Cream Cheese due to possible Listeria monocytogenes contamination.
RC-0516,2024-08-18,2024-08,2024,Medical Devices,Baxter Canada,Baxter Canada Insulin Pump,Chemical contamination,Class I,Serious health risk or death,3,8,2.4,Nova Scotia,Baxter Canada is recalling Insulin Pump due to the presence of lead contamination.
RC-0385,2024-08-19,2024-08,2024,Bakery and Snacks,Voortman Cookies,Voortman Cookies Potato Chips,Foreign material,Class III,Unlikely to cause adverse health consequences,1,7,0.7,Quebec,Voortman Cookies is recalling Potato Chips after foreign material (wood splinters) was found during production.
RC-0629,2024-08-19,2024-08,2024,Cosmetics and Personal Care,Unilever Canada,Unilever Canada Body Lotion,Chemical contamination,Class I,Serious health risk or death,3,8,2.4,Saskatchewan,Unilever Canada is recalling Body Lotion due to elevated levels of mineral oil.
RC-0081,2024-08-20,2024-08,2024,Prepared and Packaged Foods,Conagra Brands Canada,Conagra Brands Canada Pasta Sauce,Undeclared allergen,Class II,Temporary adverse health consequences unlikely to be serious,2,9,1.8,British Columbia,Recall of Pasta Sauce by Conagra Brands Canada because the product may contain undeclared mustard which is not declared on the label.
RC-0101,2024-08-24,2024-08,2024,Meat and Poultry,Maple Leaf Foods,Maple Leaf Foods Chicken Wings,Labelling error,Class III,Unlikely to cause adverse health consequences,1,4,0.4,British Columbia,Recall of Chicken Wings by Maple Leaf Foods because the product label contains incorrect information regarding serving size.
RC-0770,2024-08-24,2024-08,2024,Fruits and Vegetables,Lakeside Produce,Lakeside Produce Strawberries,Labelling error,Class I,Serious health risk or death,3,4,1.2,Alberta,Lakeside Produce is recalling Strawberries due to a labelling error. The label does not accurately reflect the contents of the package.
RC-0622,2024-08-28,2024-08,2024,Meat and Poultry,Sun Rise Poultry,Sun Rise Poultry Sliced Ham,Microbiological contamination,Class I,Serious health risk or death,3,10,3.0,Ontario,Sun Rise Poultry is recalling Sliced Ham due to possible Clostridium perfringens contamination.
RC-0418,2024-08-29,2024-08,2024,Cosmetics and Personal Care,Reckitt Canada,Reckitt Canada Body Lotion,Microbiological contamination,Class I,Serious health risk or death,3,10,3.0,Ontario,Reckitt Canada is recalling Body Lotion due to possible E. coli O157:H7 contamination.
RC-0201,2024-09-01,2024-09,2024,Dairy and Eggs,Lactalis Canada,Lactalis Canada Greek Yogurt,Undeclared allergen,Class I,Serious health risk or death,3,9,2.7,Ontario,Lactalis Canada is recalling Greek Yogurt due to undeclared sesame. People with an allergy to sesame should not consume this product.
RC-0402,2024-09-02,2024-09,2024,Meat and Poultry,Olymel,Olymel Ground Beef,Labelling error,Class I,Serious health risk or death,3,4,1.2,Ontario,Olymel is recalling Ground Beef due to a labelling error. The label does not accurately reflect the contents of the package.
RC-0319,2024-09-04,2024-09,2024,Meat and Poultry,Olymel,Olymel Chicken Wings,Chemical contamination,Class III,Unlikely to cause adverse health consequences,1,8,0.8,Ontario,Recall of Chicken Wings by Olymel because the product may contain benzene at levels that exceed Health Canada guidelines.
RC-0137,2024-09-07,2024-09,2024,Dairy and Eggs,Organic Meadow,Organic Meadow Cheddar Cheese,Undeclared allergen,Class II,Temporary adverse health consequences unlikely to be serious,2,9,1.8,Quebec,Organic Meadow is conducting a voluntary recall of Cheddar Cheese due to the possible presence of undeclared milk.
